manufacturer,country,model,year,propulsion,0_60_mph_sec,0_100_kmh_sec,0_100_mph_sec,0_200_kmh_sec,quarter_mile_sec,top_speed_mph,top_speed_kmh,power_hp,power_kw,torque,engine,nurburgring_lap_sec,nurburgring_date,nurburgring_driver,top_gear_lap_sec,top_gear_episode,sources
Mercedes-Benz,DE,S63 AMG (wet),,,,,,,,,,,,,,,,,92.1,"Series 14, Episode 01",top_gear
Mercedes-Benz,DE,"SL500 (R230, pre-facelift, 2001, 306 PS)",,,,,,,,,,,,,,518.0,2001,Horst von Saurma,,,nurburgring
Mercedes-Benz,DE,SL500 (Ronnie O'Sullivan's),,,,,,,,,,,,,,,,,97.0,"Series 04, Episode 04",top_gear
Mercedes-Benz,DE,"SL55 AMG (R230, 2002, 476 PS)",,,,,,,,,,,,,,492.0,2002,Horst von Saurma,,,nurburgring
Mercedes-Benz,DE,"SL55 AMG (R230, 2003, 500 PS)",,,,,,,,,,,,,,486.0,2003,Horst von Saurma,,,nurburgring
Mercedes-Benz,DE,"SL55 AMG (R230, second facelift, 2007, 517 PS)",,,,,,,,,,,,,,516.1,2007,Dierk Möller-Sonntag,,,nurburgring
Mercedes-Benz,DE,SL55 AMG (owned by Jeremy Clarkson at the time) (very wet),,,,,,,,,,,,,,,,,93.2,"Series 01, Episode 06",top_gear
Mercedes-Benz,DE,"SL65 AMG (R230, pre-facelift, 2005)",,,,,,,,,,,,,,494.0,2005,Horst von Saurma,,,nurburgring
Mercedes-Benz,DE,SL65 AMG Black Series,,,,,,,,,,,,,,471.0,2009,Horst von Saurma,83.0,"Series 13, Episode 03","nurburgring, top_gear"
Mercedes-Benz,DE,"SLK230 Kompressor AMG (R170, 1997, 193 PS)",,,,,,,,,,,,,,547.0,1997,Horst von Saurma,,,nurburgring
Mercedes-Benz,DE,SLK32 AMG (R170),,,,,,,,,,,,,,506.0,2001,Horst von Saurma,,,nurburgring
Mercedes-Benz,DE,SLK350,,,,,,,,,,,,,,,,,92.9,"Series 05, Episode 07",top_gear
Mercedes-Benz,DE,SLK55 AMG (R171),,,,,,,,,,,,,,504.0,2005,Horst von Saurma,,,nurburgring
Mercedes-Benz,DE,SLK55 AMG Black Series,,,,,,,,,,,,,,494.0,2007,Horst von Saurma,,,nurburgring
Mercedes-Benz,DE,SLR McLaren,,,,,,,,,,,,,,460.0,2004,Klaus Ludwig,80.9,"Series 04, Episode 02","nurburgring, top_gear"
Mercedes-Benz,DE,SLS AMG,,,,,,,,,,,,,,460.0,2010,Horst von Saurma,81.6,—N/a,"nurburgring, top_gear"
Mercedes-Benz,DE,SLS AMG Black Series,,,,,,,,,,,,,,445.67,2013-08,Markus Hofbauer,79.0,"Series 20, Episode 04","nurburgring, top_gear"
Mercedes-Benz,DE,"SLS AMG Coupe Electric Drive (2013, 751 PS)",,,,,,,,,,,,,,470.23,2013-06-03,Markus Hofbauer,,,nurburgring
Mercedes-Benz,DE,SLS AMG Electric Drive,,,,,,,,,,,,,,,,,81.7,"Series 20, Episode 04",top_gear
Mercedes-Benz,DE,SLS AMG GT (2012),,,,,,,,,,,,,,450.0,2012,,,,nurburgring
Mercedes-Benz,DE,SLS AMG Roadster,,,,,,,,,,,,,,,,,79.6,"Series 18, Episode 02",top_gear
Mercedes-Benz,DE,W154,,,,,,,,,,,,,,583.1,1938-07-24,Hermann Lang,,,nurburgring
Mercury,US,Monterey,1958,,,,,,,,,400.0,298.0,,,,,,,,power_output
Mini,GB,Cooper,,,,,,,,,,,,,,,,,108.3,"Series 04, Episode 08",top_gear
Mini,GB,"Cooper S JCW (F55/F56/F57, 2015, 2.0 T, 231 PS)",,,,,,,,,,,,,,515.0,2015,Christian Gebhardt,,,nurburgring
Mini,GB,"Cooper S JCW (R50/R53, S/C 1.6, 200 PS)",,,,,,,,,,,,,,535.0,2004,Horst von Saurma,,,nurburgring
Mini,GB,"Cooper S JCW (R56/R57, 2009, 1.6 T, 211 PS)",,,,,,,,,,,,,,515.0,2009,Horst von Saurma,,,nurburgring
Mini,GB,"Cooper S JCW GP (Mk3, F56, 2020, 2.0 T, 306 PS)",,,,,,,,,,,,,,483.86,2020-07-14,Christian Gebhardt,,,nurburgring
Mini,GB,"E racer, Electric",,,,,,,,,,,,,,592.0,2010-04,Thomas Jäger,,,nurburgring
Mini,GB,"John Cooper Works Pro (F56, 2017, 2.0 T, 231 PS)",,,,,,,,,,,,,,508.0,2017,Christian Gebhardt,,,nurburgring
Mitsubishi,JP,"Carisma GT Evo VI (Mk6, 1999, 280 PS)",,,,,,,,,,,,,,505.0,1999,Horst von Saurma,,,nurburgring
Mitsubishi,JP,"Carisma GT Evo VII (Mk7, 2002, 280 PS)",,,,,,,,,,,,,,505.0,2002,Horst von Saurma,,,nurburgring
Mitsubishi,JP,Lancer Evo IX,,,,,,,,,,,,,,491.16,,Takayuki Kinoshita,,,nurburgring
Mitsubishi,JP,Lancer Evolution VIII MR FQ-300,,,,,,,,,,,,,,,,,88.9,"Series 02, Episode 06",top_gear
Mitsubishi,JP,Lancer Evolution VIII MR FQ-400 (damp),,,,,,,,,,,,,,,,,84.8,"Series 05, Episode 07",top_gear
Mitsubishi,JP,Lancer Evolution VIII MR FQ320,,,,,,,,,,,,,,,,,86.0,"Series 04, Episode 04",top_gear
Mitsubishi,JP,Lancer Evolution VIII MR GSR,,,,,,,,,,,,,,494.98,2003,Motoharu Kurosawa,,,nurburgring
Mitsubishi,JP,Lancer Evolution X FQ-300,,,,,,,,,,,,,,,,,88.22,"Series 11, Episode 02",top_gear
Modified,US,Volkswagen Golf GTI MKII,,,,,,,,,,,,,,,,,94.4,—N/a,top_gear
Modified,US,Volkswagen Golf GTI MKV,,,,,,,,,,,,,,,,,91.5,—N/a,top_gear
Morgan,GB,3 Wheeler (written as Morgan Tricycle),,,,,,,,,,,,,,,,,100.4,"Series 18, Episode 06",top_gear
Morgan,GB,"Aero 8 (Series 1, pre-facelift, 2003, 286 PS)",,,,,,,,,,,,,,519.0,2003-03-01,Horst von Saurma,,,nurburgring
Morgan,GB,Aero 8 GTN,,,,,,,,,,,,,,,,,85.9,"Series 05, Episode 05",top_gear
Mygale,GB,M12-SJ-Ford Ecoboost,,,,,,,,,,,,,,442.0,2012-09-04,Nick Tandy,,,nurburgring
NIO,CN,EP9,2016,,,,,,,,,1341.0,1000.0,,,405.9,2017-05-12,Peter Dumbreck,,,"nurburgring, power_output"
Nissan,JP,300ZX,,,,,,,,,,,,,,,,,95.0,"Series 13, Episode 05",top_gear
Nissan,JP,350Z,,,,,,,,,,,,,,506.0,2003,Horst von Saurma,91.8,"Series 03, Episode 05","nurburgring, top_gear"
Nissan,JP,370Z GT,,,,,,,,,,,,,,,,,87.5,"Series 13, Episode 06",top_gear
Nissan,JP,GT-R (2013),,,,,,,,,,,,,,439.1,2012,Toshio Suzuki,77.8,"Series 17, Episode 04","nurburgring, top_gear"
Nissan,JP,GT-R (R35),,,,,,,,,,,,,,456.0,2011,Horst von Saurma,,,nurburgring
Nissan,JP,GT-R Nismo,2020,ICE,2.48,3.0,,,,,,,,,,428.679,2013-09-30,Michael Krumm,,,"acceleration, nurburgring"
Nissan,JP,GT-R Spec-V,,,,,,,,,,,,,,454.46,2009,,,,nurburgring
Nissan,JP,Skyline GT-R R32,,,,,,,,,,,,,,502.38,1989,Motoharu Kurosawa,,,nurburgring
Nissan,JP,Skyline GT-R R33,,,,,,,,,,,,,,479.887,1996,Dirk Schoysman,,,nurburgring
Noble,GB,M12 GTO (wet),,,,,,,,,,,,,,,,,92.9,"Series 01, Episode 02",top_gear
Noble,GB,M12 GTO-3,,,,,,,,,,,,,,,,,85.0,"Series 02, Episode 10",top_gear
Noble,GB,M15,,,,,,,,,,,,,,,,,82.5,"Series 08, Episode 08",top_gear
Noble,GB,M400 (damp) (Shown on Top Gear Revved Up DVD),,,,,,,,,,,,,,,,,86.0,—N/a,top_gear
Noble,GB,M600 (cold),,,,,,,,,,,,,,,,,77.7,"Series 14, Episode 05",top_gear
Opel,DE,"Astra OPC (J, P10, 2012, 2.0 T, 280 PS)",,,,,,,,,,,,,,500.0,2012,Horst von Saurma,,,nurburgring
Opel,DE,Corsa 1.6 Turbo OPC,,,,,,,,,,,,,,534.0,2008,Horst von Saurma,,,nurburgring
Opel,DE,Corsa B,,,,,,,,,,,,,,552.0,2020-06-24,Steven Stephan,,,nurburgring
Opel,DE,Corsa OPC,,,,,,,,,,,,,,527.99,2007,Manuel Reuter,,,nurburgring
Opel,DE,"Corsa OPC (E, X15, 2015, 1.6 T, 207 PS)",,,,,,,,,,,,,,520.0,2015,Christian Gebhardt,,,nurburgring
Opel,DE,"Speedster Turbo (2004, 200 PS)",,,,,,,,,,,,,,514.0,2004,Horst von Saurma,,,nurburgring
Overfinch,GB,580 S (very wet),,,,,,,,,,,,,,,,,104.0,"Series 02, Episode 10",top_gear
P3,US,Suzuki GSX-R600K7,,,,,,,,,,,,,,437.0,n/a,,,,nurburgring
Pagani,IT,Huayra,,,,,,,,,,,,,,,,,73.8,"Series 19, Episode 01",top_gear
Pagani,IT,Huayra Imola,2020,,,,,,,,,827.0,617.0,,,,,,,,power_output
Pagani,IT,Zonda C12 S 7.3 (partly damp),,,,,,,,,,,,,,,,,83.8,"Series 01, Episode 01",top_gear
Pagani,IT,Zonda F,,,,,,,,,,,,,,453.0,2006,Horst von Saurma,78.4,"Series 07, Episode 04","nurburgring, top_gear"
Pagani,IT,Zonda F Clubsport (2005),,,,,,,,,,,,,,444.44,2008-08,Marc Basseng,,,nurburgring
Pagani,IT,Zonda R,,,,,,,,,,,,,,407.5,2010-06-29,Marc Basseng,,,nurburgring
Pagani,IT,Zonda Roadster F (Clubsport Version),,,,,,,,,,,,,,,,,77.8,"Series 12, Episode 04",top_gear
Pagani,IT,Zonda S 7.3 (2002),,,,,,,,,,,,,,464.0,2002,Horst von Saurma,,,nurburgring
Pegaso,ES,Z-102,1953,,,,,,,151.042,243.079,,,,"2,816 cc (171.8 cu in) V8 186 kW (253 PS; 250 bhp)",,,,,,speed_records
Peugeot,FR,208 GTi,,,,,,,,,,,,,,,,,93.2,"Series 20, Episode 01",top_gear
Peugeot,FR,RC (wet),,,,,,,,,,,,,,,,,92.0,"Series 01, Episode 07",top_gear
Peugeot,FR,Type 15,1897,,,,,,,,,8.0,6.0,,,,,,,,power_output
Pininfarina,IT,Battista,2022,,,,,,,,,1900.0,1417.0,,,,,,,,power_output
Plymouth,US,Fury Max Wedge Ramcharger II,1963,,,,,,,,,425.0,317.0,,,,,,,,power_output
Porsche,DE,718 Cayman GTS (damp),,,,,,,,,,,,,,,,,83.5,—N/a,top_gear
Porsche,DE,718 Cayman S,,,,,,,,,,,,,,,,,81.6,"Series 24, Episode 07",top_gear
Porsche,DE,718 Cayman S (982),,,,,,,,,,,,,,466.7,2016-09,Christian Gebhardt,,,nurburgring
Porsche,DE,911 Carrera (993),,,,,,,,,,,,,,508.0,1997,Horst von Saurma,,,nurburgring
Porsche,DE,"911 Carrera (996.1, pre-facelift, 1998, 300 PS)",,,,,,,,,,,,,,497.0,1998,Horst von Saurma,,,nurburgring
Porsche,DE,"911 Carrera (996.2, facelift, 2001, 320 PS)",,,,,,,,,,,,,,497.0,2001,Horst von Saurma,,,nurburgring
Porsche,DE,"911 Carrera 4 (996.1, 2001, 300 PS)",,,,,,,,,,,,,,503.0,2001,Horst von Saurma,,,nurburgring
Porsche,DE,911 Carrera 4S (992),2020,ICE,2.8,,,,,,,,,,,,,,,,acceleration
Porsche,DE,911 Carrera GTS (991.2),,,,,,,,,,,,,,443.77,2017-05,Christian Gebhardt,,,nurburgring
Porsche,DE,911 Carrera GTS and Carrera 4 GTS (992),2022,ICE,2.8,,,,,,,,,,,,,,,,acceleration
Porsche,DE,911 Carrera RS (964),,,,,,,,,,,,,,503.12,2019,Christian Gebhardt,,,nurburgring
Porsche,DE,"911 Carrera S (991.1, pre-facelift, 2011, N/A 3.8, 400 PS)",,,,,,,,,,,,,,464.0,2011,Horst von Saurma,,,nurburgring
Porsche,DE,"911 Carrera S (991.1, pre-facelift, 2012, N/A 3.8, 400 PS)",,,,,,,,,,,,,,457.9,2012-08-28,Timo Glock,,,nurburgring
Porsche,DE,911 Carrera S (991.2),,,,,,,,,,,,,,453.67,2016-05,Christian Gebhardt,,,nurburgring
Porsche,DE,911 Carrera S (992),2020,ICE,2.9,,,,,,,,,,,450.41,2019,Christian Gebhardt,,,"acceleration, nurburgring"
Porsche,DE,911 Carrera S (996),,,,,,,,,,,,,,479.0,2004,Walter Röhrl,,,nurburgring
Porsche,DE,911 Carrera S (997) (damp) (written as Porsche Rubbish),,,,,,,,,,,,,,,,,86.2,"Series 10, Episode 02",top_gear
Porsche,DE,"911 Carrera S (997.1, 2005, N/A 3.8, 355 PS)",,,,,,,,,,,,,,485.0,2005,Horst von Saurma,,,nurburgring
Porsche,DE,"911 Carrera S (997.2, 2009)",,,,,,,,,,,,,,470.0,2008,Horst von Saurma,,,nurburgring
Porsche,DE,"911 Dakar (992, 2023, 3.0 TT, 480 PS)",,,,,,,,,,,,,,459.4,2023-08-14,Christian Gebhardt,,,nurburgring
Porsche,DE,911 GT2 (996) by Edo Competition,,,,,,,,,,,,,,435.63,2005-08-04,Patrick Simon,,,nurburgring
Porsche,DE,"911 GT2 (996.1, 2001, 462 PS)",,,,,,,,,,,,,,466.0,2001,Horst von Saurma,,,nurburgring
Porsche,DE,"911 GT2 (997, 2007)",,,,,,,,,,,,,,451.0,2007,Walter Röhrl,,,nurburgring
Porsche,DE,"911 GT2 (997.1, pre-facelift, 2007, 3.6 TT, 530 PS)",,,,,,,,,,,,,,453.0,2007,Horst von Saurma,,,nurburgring
Porsche,DE,911 GT2 RS (991),2018,ICE,2.5,2.55,,,10.1,,,,,,,,,,,,acceleration
Porsche,DE,911 GT2 RS (991.2),,,,,,,,,,,,,,411.45,2017-09-20,Lars Kern,,,nurburgring
Porsche,DE,"911 GT2 RS (991.2, 2018, 3.8 TT, 700 PS)",,,,,,,,,,,,,,418.28,2018-04-17,Christian Gebhardt,,,nurburgring
Porsche,DE,911 GT2 RS (997.2),,,,,,,,,,,,,,438.0,2010,Timo Glock,,,nurburgring
Porsche,DE,911 GT2 RS MR (991.2) by Manthey Racing,,,,,,,,,,,,,,400.33,2018-10-25,Lars Kern,,,nurburgring
Porsche,DE,911 GT2 RS Manthey Performance Kit (991.2),,,,,,,,,,,,,,403.3,2021-06-14,Lars Kern,,,nurburgring
Porsche,DE,911 GT3,,,,,,,,,,,,,,,,,83.1,—N/a,top_gear
Porsche,DE,"911 GT3 (991.1, pre-facelift, 2013, N/A 3.8, 475 PS)",,,,,,,,,,,,,,452.0,2013-11,Horst von Saurma,,,nurburgring
Porsche,DE,911 GT3 (991.2),,,,,,,,,,,,,,432.7,2017-05-04,Lars Kern,,,nurburgring
Porsche,DE,"911 GT3 (991.2, facelift, 2017, N/A 4.0, 500 PS)",,,,,,,,,,,,,,438.0,2017-04-28,Christian Gebhardt,,,nurburgring
Porsche,DE,911 GT3 (992),2021,ICE,2.7,3.0,,,10.8,,,,,,,,,,,,acceleration
Porsche,DE,"911 GT3 (992.1, 2022)",,,,,,,,,,,,,,419.927,2020-09-15,Lars Kern,,,nurburgring
Porsche,DE,"911 GT3 (992.1, pre-facelift, 2021, N/A 4.0, 510 PS)",,,,,,,,,,,,,,424.74,2021-05-05,Christian Gebhardt,,,nurburgring
Porsche,DE,911 GT3 (996),,,,,,,,,,,,,,474.0,2003,Horst von Saurma,,,nurburgring
Porsche,DE,"911 GT3 (996.1, pre-facelift, 1999, 360 PS)",,,,,,,,,,,,,,483.0,1999,Horst von Saurma,,,nurburgring
Porsche,DE,911 GT3 (997.1),,,,,,,,,,,,,,468.0,2006,Horst von Saurma,,,nurburgring
Porsche,DE,"911 GT3 (997.1, pre-facelift, N/A 3.6, 415 PS)",,,,,,,,,,,,,,462.0,2006,Walter Röhrl,,,nurburgring
Porsche,DE,911 GT3 (997.2),,,,,,,,,,,,,,460.0,2009,Horst von Saurma,,,nurburgring
Porsche,DE,"911 GT3 Manthey Performance Kit (992.1, 2023, N/A 4.0, 510 PS)",,,,,,,,,,,,,,419.42,2023-02-08,Christian Gebhardt,,,nurburgring
Porsche,DE,911 GT3 R (991),,,,,,,,,,,,,,489.105,2018-05-11,Laurens Vanthoor,,,nurburgring
Porsche,DE,911 GT3 RS,,,,,,,,,,,,,,,,,81.0,—N/a,top_gear
Porsche,DE,"911 GT3 RS (991.1, pre-facelift, 2015, N/A 4.0, 500 PS)",,,,,,,,,,,,,,448.0,2015,Christian Gebhardt,,,nurburgring
Porsche,DE,911 GT3 RS (991.2),2019,ICE,2.8,,,,,,,,,,,416.4,2018-04-16,Kévin Estre,,,"acceleration, nurburgring"
Porsche,DE,"911 GT3 RS (991.2, facelift, 2018, N/A 4.0, 520 PS)",,,,,,,,,,,,,,425.41,2018-04-18,Christian Gebhardt,,,nurburgring
Porsche,DE,911 GT3 RS (992.1),,,,,,,,,,,,,,409.328,2022-10-05,Jörg Bergmeister,,,nurburgring
Porsche,DE,911 GT3 RS (996),,,,,,,,,,,,,,463.0,2004-10,Walter Röhrl,,,nurburgring
Porsche,DE,911 GT3 RS (997.1),,,,,,,,,,,,,,468.0,2007,Horst von Saurma,,,nurburgring
Porsche,DE,"911 GT3 RS (997.2, 2010)",,,,,,,,,,,,,,453.0,2010,Horst von Saurma,,,nurburgring
Porsche,DE,911 GT3 RS 4.0 (997),,,,,,,,,,,,,,454.92,2011-09,Sascha Bert,,,nurburgring
Porsche,DE,"911 GT3 RS 4.0 (997.2, facelift, 2011, N/A 4.0, 500 PS)",,,,,,,,,,,,,,450.0,2011,Horst von Saurma,,,nurburgring
Porsche,DE,911 GT3 RS MR (991.1) by Manthey Racing,,,,,,,,,,,,,,429.59,2017,Christian Gebhardt,,,nurburgring
Porsche,DE,911 Sport Classic,,,,,,,,,,,,,,,,,82.9,"Series 15, Episode 02",top_gear
Porsche,DE,"911 Turbo (996, 2000, 3.6 TT, 420 PS)",,,,,,,,,,,,,,476.0,2000,Horst von Saurma,,,nurburgring
Porsche,DE,"911 Turbo (997.1, pre-facelift, 2007, 3.6 TT, 480 PS)",,,,,,,,,,,,,,474.0,2007,Horst von Saurma,,,nurburgring
Porsche,DE,"911 Turbo (997.1, pre-facelift, 2008, 3.6 TT, 480 PS)",,,,,,,,,,,,,,458.0,2008-09,,,,nurburgring
Porsche,DE,"911 Turbo (997.2, facelift, 2011, 3.8 TT, 500 PS)",,,,,,,,,,,,,,467.0,2011,Horst von Saurma,,,nurburgring
Porsche,DE,911 Turbo (very wet),,,,,,,,,,,,,,,,,107.0,"Series 02, Episode 10",top_gear
Porsche,DE,911 Turbo 3.3,,,,,,,,,,,,,,488.73,1991,Motoharu Kurosawa,,,nurburgring
Porsche,DE,"911 Turbo Cabrio (997.1, pre-facelift, 2007, 480 PS)",,,,,,,,,,,,,,492.8,2007,Dierk Möller-Sonntag,,,nurburgring
Porsche,DE,911 Turbo S (991 and 991.2),2014,ICE,2.5,,,,,,,,,,,,,,,,acceleration
Porsche,DE,911 Turbo S (991),2013,ICE,2.8,2.8,,,,,,,,,,,,,,,acceleration
Porsche,DE,"911 Turbo S (991.1, pre-facelift, 2014, 3.8 TT, 560 PS)",,,,,,,,,,,,,,454.0,2014-02,Horst von Saurma,,,nurburgring
Porsche,DE,911 Turbo S (991.2),2016,ICE,2.7,2.7,,,,,,,,,,,,,,,acceleration
Porsche,DE,"911 Turbo S (991.2, facelift, 2018, 3.8 TT, 580 PS)",,,,,,,,,,,,,,437.11,2017-08-24,Christian Gebhardt,,,nurburgring
Porsche,DE,911 Turbo S (992),2020,ICE,9.9,2.5,,,9.9,,,,,,,,,,,,acceleration
Porsche,DE,"911 Turbo S (992.1, pre-facelift, 2021, 3.7 TT, 650 PS)",,,,,,,,,,,,,,437.3,2021-01-30,Christian Gebhardt,,,nurburgring
Porsche,DE,911 Turbo S (997),2011,ICE,2.6,3.0,,,10.7,,,,,,,,,,,,acceleration
Porsche,DE,"911 Turbo S (997.2, facelift, 2010, 3.8 TT, 530 PS)",,,,,,,,,,,,,,461.23,2010-11,Sascha Bert,,,nurburgring
Porsche,DE,"911 Turbo S (997.2, facelift, 2011, 3.8 TT, 530 PS)",,,,,,,,,,,,,,464.0,2011,Horst von Saurma,,,nurburgring
Porsche,DE,911 Turbo S Lightweight (992),2020,ICE,2.1,,,,,,,,,,,,,,,,acceleration
Porsche,DE,917/10,,,,,,,,,,,,,,454.3,1974-06-16,Emerson Fittipaldi,,,nurburgring
Porsche,DE,918 Spyder,2015,Hybrid,2.1,2.53,,,9.7,,,874.0,652.0,,,417.0,2013-09-04,Marc Lieb,,,"acceleration, nurburgring, power_output"
Porsche,DE,919 Hybrid EVO,,,,,,,,,,,,,,319.546,2018-06-29,Timo Bernhard,,,nurburgring
Porsche,DE,935 K3,,,,,,,,,,,,,,451.7,1979-04-29,Klaus Ludwig,,,nurburgring
Porsche,DE,956,,,,,,,,,,,,,,371.13,1983-05-28,Stefan Bellof,,,nurburgring
Porsche,DE,959,1986,,,,,,,198.0,319.0,,,,"2,849 cc (173.9 cu in) twin-turbocharged flat-6 331 kW (450 PS; 444 hp)",,,,,,speed_records
Porsche,DE,959 S,1988,,,,,,,,,508.0,379.0,,,,,,,,power_output
Porsche,DE,991 GT2 RS,,,,,,,,,,,,,,,,,73.4,"Series 26, Episode 03",top_gear
Porsche,DE,991 GT3 RS,,,,,,,,,,,,,,,,,76.1,"Series 24, Episode 06",top_gear
Porsche,DE,992 GT3 RS,,,,,,,,,,,,,,,,,74.8,Stig Laps,top_gear
Porsche,DE,992 GT3 RS Manthey,,,,,,,,,,,,,,,,,73.3,Stig Laps,top_gear
Porsche,DE,996 GT3 (very wet),,,,,,,,,,,,,,,,,87.2,"Series 03, Episode 01",top_gear
Porsche,DE,996 GT3 RS,,,,,,,,,,,,,,,,,82.3,"Series 04, Episode 03",top_gear
Porsche,DE,996 GT3-MR,,,,,,,,,,,,,,523.367,2006-06-18,Lucas Luhr/Timo Bernhard/Mike Rockenfeller/ Marcel Tiemann,,,nurburgring
Porsche,DE,996 Turbo,,,,,,,,,,,,,,424.0,2003-05-29,Uwe Alzen,,,nurburgring
Porsche,DE,996 Turbo (wet),,,,,,,,,,,,,,,,,91.0,"Series 02, Episode 05",top_gear
Porsche,DE,997 Carrera S (very wet),,,,,,,,,,,,,,,,,88.9,"Series 05, Episode 01",top_gear
Porsche,DE,997 GT2,,,,,,,,,,,,,,,,,79.5,"Series 12, Episode 01",top_gear
Porsche,DE,997 GT3-RSR,,,,,,,,,,,,,,516.768,2009-05-25,Timo Bernhard/Marc Lieb/Romain Dumas/Marcel Tiemann,,,nurburgring
Porsche,DE,997 Turbo,,,,,,,,,,,,,,418.0,2009-09-05,Jürgen Alzen,,,nurburgring
Porsche,DE,997 Turbo Cabriolet,,,,,,,,,,,,,,,,,82.2,"Series 15, Episode 04",top_gear
Porsche,DE,"Boxster (986.1, pre-facelift, 1997, 2.5, 204 PS)",,,,,,,,,,,,,,534.0,1997,Horst von Saurma,,,nurburgring
Porsche,DE,"Boxster (986.2, facelift, 2003, 2.7, 228 PS)",,,,,,,,,,,,,,516.0,2003,Horst von Saurma,,,nurburgring
Porsche,DE,Boxster (very wet),,,,,,,,,,,,,,,,,97.0,"Series 03, Episode 02",top_gear
Porsche,DE,Boxster S,,,,,,,,,,,,,,,,,88.7,"Series 05, Episode 07",top_gear
Porsche,DE,"Boxster S (981.1, pre-facelift, 2012, N/A 3.4, 315 PS)",,,,,,,,,,,,,,484.0,2012,Horst von Saurma,,,nurburgring
Porsche,DE,"Boxster S (986.1, pre-facelift, 1999, 252 PS)",,,,,,,,,,,,,,512.0,1999,Horst von Saurma,,,nurburgring
Porsche,DE,Boxster S (987),,,,,,,,,,,,,,490.0,,,,,nurburgring
Porsche,DE,"Boxster S (987.1, pre-facelift, 2006, 282 PS)",,,,,,,,,,,,,,503.0,2006,Horst von Saurma,,,nurburgring
Porsche,DE,"Boxster S (987.2, facelift 2009)",,,,,,,,,,,,,,498.0,2009,Horst von Saurma,,,nurburgring
Porsche,DE,Boxster Spyder,,,,,,,,,,,,,,,,,84.9,"Series 15, Episode 02",top_gear
Porsche,DE,"Boxster Spyder (981, 2015, N/A 3.8, 375 PS)",,,,,,,,,,,,,,472.0,2015,Christian Gebhardt,,,nurburgring
Porsche,DE,Carrera 4S PDK (997),,,,,,,,,,,,,,484.52,2008-10-27,Sascha Bert,,,nurburgring
Porsche,DE,Carrera GT,2003,ICE,,,,,10.97,,,,,,,,,,79.8,"Series 04, Episode 04","acceleration, top_gear"
Porsche,DE,"Carrera GT (2006, 612 PS)",,,,,,,,,,,,,,459.49,2006-03,Walter Röhrl,,,nurburgring
Porsche,DE,Carrera GT (980),,,,,,,,,,,,,,432.69,2024-12-12,Jörg Bergmeister,,,nurburgring
Porsche,DE,Cayenne Turbo (958),,,,,,,,,,,,,,493.0,2012,,,,nurburgring
Porsche,DE,Cayenne Turbo GT,2022,ICE,2.8,,,,,,,,,,,,,,81.2,—N/a,"acceleration, top_gear"
Porsche,DE,"Cayenne Turbo GT (Mk3, PO536 / 9YA, pre-facelift, 2021, 4.0 TT, 640 PS)",,,,,,,,,,,,,,453.95,2021-06-14,Lars Kern,,,nurburgring
Porsche,DE,Cayenne Turbo S (958.2),,,,,,,,,,,,,,479.74,,,,,nurburgring
Porsche,DE,"Cayenne Turbo S (Type 9PA (957), 2009, facelift, 4.8-l, 550 PS))",,,,,,,,,,,,,,513.99,2009-10-02,Patrick Simon,,,nurburgring
Porsche,DE,"Cayman GT4 (718, 2020, N/A 4.0, 420 PS)",,,,,,,,,,,,,,452.0,2020,Christian Gebhardt,,,nurburgring
Porsche,DE,"Cayman GT4 (981, 2015, N/A 3.8, 385 PS)",,,,,,,,,,,,,,462.39,2015-04,Christian Gebhardt,,,nurburgring
Porsche,DE,"Cayman GT4 RS (718, 2022, N/A 4.0, 500 PS)",,,,,,,,,,,,,,436.15,2022-05-09,Christian Gebhardt,,,nurburgring
Porsche,DE,Cayman GT4 RS (982),,,,,,,,,,,,,,429.3,2021-09-17,Jörg Bergmeister,,,nurburgring
Porsche,DE,Cayman GT4 RS Manthey Performance Kit (982),,,,,,,,,,,,,,423.121,2023-07-13,Jörg Bergmeister,,,nurburgring
Porsche,DE,Cayman GTS,,,,,,,,,,,,,,,,,81.6,"Series 22, Episode 05",top_gear
Porsche,DE,Cayman R (987.2),,,,,,,,,,,,,,490.0,2011,Horst von Saurma,,,nurburgring
Porsche,DE,Cayman S,,,,,,,,,,,,,,,,,86.7,"Series 07, Episode 02",top_gear
Porsche,DE,"Cayman S (981.1, 2013, PDK, N/A 3.4, 325 PS)",,,,,,,,,,,,,,485.0,2013,Horst von Saurma,,,nurburgring
Porsche,DE,"Cayman S (987.1, pre-facelift, 2006, 295 PS)",,,,,,,,,,,,,,505.0,2006,Horst von Saurma,,,nurburgring
Porsche,DE,"Cayman S (987.2, facelift 2009)",,,,,,,,,,,,,,497.0,2009,Horst von Saurma,,,nurburgring
Porsche,DE,Panamera Sport Turismo Turbo S E-Hybrid,2018,Hybrid,2.8,,,,,,,,,,,,,,,,acceleration
Porsche,DE,Panamera Turbo,,,,,,,,,,,,,,,,,84.2,"Series 15, Episode 03",top_gear
Porsche,DE,"Panamera Turbo (970, pre-facelift, 2009, 4.8 TT, 500 PS)",,,,,,,,,,,,,,476.0,2009,Walter Röhrl,,,nurburgring
Porsche,DE,"Panamera Turbo (971, 2017, 4.0 TT, 550 PS)",,,,,,,,,,,,,,458.0,2016,,,,nurburgring
Porsche,DE,Panamera Turbo S,2021,ICE,2.6,3.0,,,,,,,,,,,,,,,acceleration
