Year,Winner,Vehicle,Time,Notes
1916,Floyd Clymer,Excelsior,21:58.410,
1917–1953,No motorcycle competition was held.,No motorcycle competition was held.,No motorcycle competition was held.,No motorcycle competition was held.
1954,Bill Meier,Harley-Davidson,15:34.100,
1955,Don Tindall,Harley-Davidson,16:08.600,
1956–1970,No motorcycle competition was held.,No motorcycle competition was held.,No motorcycle competition was held.,No motorcycle competition was held.
1971,Gary Myers,Husqvarna,15:11.960,
1972,Steve Scott,Bultaco,15:13.470,
1973,Rick Deane,Triumph 750,13:56.030,
1974,Bob Conway,Yamaha 750,13:54.570,
1975,Rick Deane,Triumph 750,13:54.620,
1976,Rick Deane,Triumph 750,13:12.610,
1977–1979,No motorcycle competition was held.,No motorcycle competition was held.,No motorcycle competition was held.,No motorcycle competition was held.
1980,Lonnie Houtchens,Yamaha 750,13:44.730,
1981,Brian Anderson,Triumph 750,13:20.860,
1982,Arlo Englund,Yamaha 490,13:19.280,
1983–1990,No motorcycle competition was held.,No motorcycle competition was held.,No motorcycle competition was held.,No motorcycle competition was held.
1991,Brian Anderson,Wood-Rotax 600,13:24.820,
1992,Brian Anderson,Wood-Rotax,12:54.000,
1993,Clint Vahsholtz,Wood-Rotax,12:29.380,
1994,Clint Vahsholtz,Wood-Rotax 600,12:21.130,
1995,Clint Vahsholtz,1992 Wood-Rotax,9:17.100,
1996,Davey Durelle,1988 Wood-Rotax,12:33.730,
1997,Davey Durelle,1988 Wood-Rotax,12:21.960,
1998,John Stallworth,1987 Yamaha Banshee 430 (Quad),12:52.370,
1999,Lonnie Eubanks,1996 Yamaha (Quad),12:42.190,
2000,Bobby Parr,1999 LSR Lightweight (Quad),12:37.860,
2001,Bobby Parr,2001 LSR Lightweight (Quad),12:09.160,
2002,Bobby Parr,2002 Lone Star (Quad),12:30.000,
2003,Bobby Parr,2002 Lightweight (Quad),12:28.480,
2004,Davey Durelle,Honda CRF450,12:27.810,
2005,Micky Dymond,KTM,12:12.614,
2006,Gary Trachy,2006 Husqvarna SMR,11:46.841,
2007,Davey Durelle,2005 Rotax,11:41.756,
2008,Davey Durelle,2008 Aprilia SM 550,11:42.991,
2009,Davey Durelle,2009 Aprilia SXV,11:48.649,
2010,Gary Trachy,2009 TM Racing 660 SMX,11:33.700,
2011,Carlin Dunne,2011 Ducati Multistrada 1200,11:11.329,
2012,Carlin Dunne,2012 Ducati Multistrada 1200,9:52.819,
2013,Carlin Dunne,2013 Lightning Electric Superbike,10:00.694,
2014,Jeremy Toye,2013 Kawasaki Ninja ZX-10R,9:58.687,
2015,Jeffrey Tigert,2014 Honda CBR1000RR,10:02.735,
2016,Bruno Langlois,2015 Kawasaki Z1000,10:13.106,
2017,Chris Fillmore,2017 KTM 1290 Super Duke R,9:49:625,
2018,Carlin Dunne,2018 Ducati MTS-1260 Pikes Peak,9:59.102,
2019,Rennie Scaysbrook,2018 Aprilia Tuono V4 1100,9:44.963,
