url,year,make,model,vehicle_type,base_price,as_tested_price,engine_type,displacement,power_hp,power_rpm,torque_lb_ft,torque_rpm,transmission,wheelbase,length,width,height,curb_weight,zero_to_60_mph,zero_to_100_mph,quarter_mile_time,quarter_mile_speed,top_speed,braking_70_0,braking_100_0,skidpad_g,rolling_start_5_60,top_gear_30_50,top_gear_50_70,fuel_economy_combined,fuel_economy_city,fuel_economy_highway,fuel_economy_observed,ev_range,is_estimated
https://www.caranddriver.com/reviews/a15098124/lamborghini-aventador-sv-prototype-drive-review/,,,,"mid-engine, all-wheel-drive, 2-passenger, 2-door coupe",500000,,"DOHC 48-valve V-12, aluminum block and heads, port fuel injection",397,740,8400,509,5500,7-speed automated manual,106.3,190.4,79.9,44.7,3900,2.7,5.9,10.5,,217,,,,,,,,,,,,yes
https://www.caranddriver.com/reviews/a15098128/2017-volkswagen-golf-alltrack-test-review/,2017,Volkswagen Golf,Alltrack Test,"front-engine, all-wheel-drive, 5-passenger, 4-door hatchback",33710,35705,"turbocharged and intercooled DOHC 16-valve inline-4, iron block and aluminum head, direct fuel injection",,170,4500,199,1600,6-speed dual-clutch automatic with manual shifting mode,103.5,180.2,70.8,59.7,3497,7.5,22.2,15.9,87,,172,,0.84,8.8,4.0,5.5,,,,25,,yes
https://www.caranddriver.com/reviews/a15098131/2017-porsche-911-carrera-s-cabriolet-pdk-automatic-test-review/,2017,Porsche,911 Carrera S Cabriolet Pdk Automatic Test,"rear-engine, rear-wheel-drive, 2+2-passenger, 2-door convertible",119950,144805,"twin-turbocharged and intercooled DOHC 24-valve flat-6, aluminum block and heads, direct fuel injection",,420,6500,368,1700,7-speed dual-clutch automatic with manual shifting mode,96.5,177.1,71.2,50.8,3512,3.2,7.8,11.6,122,,146,,1.00,4.4,2.5,2.6,,,,14,,yes
https://www.caranddriver.com/reviews/a15098138/2017-chevrolet-cruze-review/,2017,Chevrolet Cruze,Review,"front-engine, front-wheel-drive, 5-passenger, 4-door sedan or hatchback",106,,"turbocharged and intercooled DOHC 16-valve inline-4, aluminum block and head, direct fuel injection",,153,5600,177,2000,S,106.3,,70.5,,2850,7.6,21.6,15.9,89,,168,,0.82,8.0,4.1,,,,,,,yes
https://www.caranddriver.com/reviews/a15098143/2017-volvo-xc90-quick-take-review/,2017,Volvo,Xc90 Quick Take,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.caranddriver.com/reviews/a15098194/2017-chevrolet-camaro-zl1-first-drive-review/,2017,Chevrolet,Camaro ZL1 First Drive &#8211;,"front-engine, rear-wheel-drive, 4-passenger, 2-door coupe",63435,,"supercharged and intercooled pushrod 16-valve V-8, aluminum block and heads, direct fuel injection",376,650,6400,650,3600,S:,110.7,188.3,74.7,52.4,3900,3.5,7.3,11.4,,195,,,,,,,,,,,,yes
https://www.caranddriver.com/reviews/a15098212/2017-honda-hr-v-review/,2017,Honda Hr,V,"front-engine, front- or 4-wheel-drive, 5-passenger, 4-door hatchback",102,,"SOHC 16-valve inline-4, aluminum block and head, port fuel injection",110,141,6500,127,4300,S:,102.8,169.1,69.8,63.2,2900,9.5,30.8,17.4,82,,183,,0.80,9.9,4.8,,,,,,,yes
https://www.caranddriver.com/reviews/a15098230/2017-subaru-brz-performance-package-first-drive-review/,2017,Subaru,BRZ Performance Package First Drive &#8211;,"front-engine, rear-wheel-drive, 4-passenger, 2-door coupe",29660,,"DOHC 16-valve flat-4, aluminum block and heads, port and direct fuel injection",122,205,7000,156,6400,6-speed manual,101.2,166.7,69.9,50.6,2800,6.2,16.3,14.8,,135,,,,,,,,,,,,yes
https://www.caranddriver.com/reviews/a15098245/2017-toyota-tundra-57l-v-8-crewmax-4x4-test-review/,2017,Toyota Tundra,57L V 8 Crewmax 4X4 Test,"front-engine, rear-/4-wheel-drive, 5-passenger, 4-door pickup",39765,45174,"DOHC 32-valve V-8, aluminum block and heads, port fuel injection",,381,5600,401,3600,6-speed automatic with manual shifting mode,145.7,228.9,79.9,77.2,5858,6.4,18.5,15.1,92,,190,,0.70,6.6,3.5,4.4,,,,14,,yes
https://www.caranddriver.com/reviews/a15098260/2017-lamborghini-aventador-s-first-drive-review/,2017,Lamborghini,Aventador S First Drive &#8211;,"mid-engine, all-wheel-drive, 2-passenger, 2-door coupe",424845,,"DOHC 48-valve V-12, aluminum block and heads, port fuel injection",397,730,8400,509,5500,7-speed automated manual,106.3,188.9,79.9,44.7,4100,2.9,6.2,10.7,,217,,,,,,,12,10,16,,,yes
https://www.caranddriver.com/reviews/a15098282/2018-aston-martin-vanquish-s-first-drive-review/,2018,Aston,Martin Vanquish S First Drive &#8211;,"front-engine, rear-wheel-drive, 2- or 2+2-passenger, 2-door coupe or convertible",107,,"DOHC 48-valve V-12, aluminum block and heads, port fuel injection",362,580,7000,465,5500,8-speed automatic with manual shifting mode,107.9,186.2,75.2,51.0,3850,3.5,8.2,11.8,,200,,,,,,,16,13,21,,,yes
https://www.caranddriver.com/reviews/a15098283/2017-mercedes-amg-s63-cabriolet-test-review/,2017,Mercedes-AMG,S63 Cabriolet Test &#8211;,"front-engine, all-wheel-drive, 4-passenger, 2-door convertible",178325,201525,"twin-turbocharged and intercooled DOHC 32-valve V-8, aluminum block and heads, direct fuel injection",333,577,5500,664,2250,7-speed automatic with manual shifting mode,115.9,198.6,75.2,56.2,4929,3.7,8.7,12.1,117,,168,,0.89,4.5,2.5,2.7,,,,14,,yes
https://www.caranddriver.com/reviews/a15098297/2017-porsche-911-turbo-test-review/,2017,Porsche,911 Turbo Test,"rear-engine, all-wheel-drive, 2+2-passenger, 2-door coupe",160250,167225,"twin-turbocharged and intercooled DOHC flat-6, aluminum block and heads, direct fuel injection",,540,6400,523,2250,7-speed dual-clutch automatic with manual shifting mode,96.5,177.4,74.0,51.1,3656,2.6,6.3,10.7,129,,143,,1.02,3.5,2.1,2.3,,,,17,,yes
https://www.caranddriver.com/reviews/a15098300/2017-honda-cr-v-awd-instrumented-test-review/,2017,Honda Cr,V Awd Instrumented Test,"front-engine, all-wheel-drive, 5-passenger, 4-door hatchback",26245,34595,"turbocharged and intercooled DOHC 16-valve inline-4, aluminum block and head, direct fuel injection",,190,5600,179,2000,continuously variable automatic,104.7,180.6,73.0,66.5,3508,7.6,21.5,16.0,89,,166,,0.82,8.1,4.2,5.3,,,,25,,yes
https://www.caranddriver.com/reviews/a15098312/2017-chevrolet-corvette-grand-sport-manual-review/,2017,Chevrolet,Corvette Grand Sport Manual &#8211;,"front-engine, rear-wheel-drive, 2-passenger, 2-door targa",66445,75080,"pushrod 16-valve V-8, aluminum block and heads, direct fuel injection",376,460,6000,465,4600,7-speed manual,106.7,177.9,77.4,48.6,3463,3.9,8.9,12.3,117,,136,,1.13,4.5,12.9,11.6,,,,16,,yes
https://www.caranddriver.com/reviews/a15098327/2017-subaru-impreza-sedan-first-drive-review/,2017,Subaru Impreza,Sedan First Drive,"front-engine, all-wheel-drive, 5-passenger, 4-door sedan",105,,"DOHC 16-valve flat-4, aluminum block and heads, direct fuel injection",,152,6000,145,4000,S,105.1,182.1,70.0,57.3,3050,8.5,25.4,16.5,,120,,,,,,,,,,,,yes
