Length,Time,Make Model,Rider,Date,Source,Notes
"20,832 m",7:46.70,Suzuki GSXR 1000,Tim Rothig,2008-05,,
"20,832 m",7:50,Kawasaki ZX-10R (2011),Tim Rothig,2011-09,Bridgestone Battlax R10.,
