Length,Time,Make Model,Class,Driver,Date,Source,Notes
"20,832 m",6:25.91,Porsche 956,Gr. C,Stefan Bellof,1983-05-29,,1983 1000 km Nürburgring (did not finish (accident))
"20,832 m",6:28.03,March Engineering 832-BMW,F2,Christian Danner,1983-04-24,,1983 Eifelrennen (193.272 km/h)
"20,832 m",6:58,Porsche 997 Turbo,Gr. A/GT,Jürgen Alzen,2009-09-05,,"BMW Driving Experience Challenge ""Rhein-Ruhr"" 2009"
"20,832 m",7:04,Porsche 996 Turbo,Gr. A/GT,Uwe Alzen,2003-05-29,,Castrol-Haugg-Cup 2003
"22,835 m",7:06.4,Ferrari 312T,F1,Clay Regazzoni,1975-08-03,,1975 German Grand Prix
"22,835 m",7:06.51,Maurer MM82-BMW,F2,Stefan Bellof,1982-04-25,,F2 lap record in 1982 Eifelrennen
"22,835 m",7:10.8,Tyrrell P34–Ford,F1,Jody Scheckter,1976-08-01,,1976 German Grand Prix
"22,835 m",7:37.3,Porsche 935 K3,Gr. 5,Klaus Ludwig,1979-04-29,,"1979 Eifelrennen, DRM race (179.760 km/h)"
"22,835 m",7:46.3,Zakspeed Capri Turbo,Gr. 5,Hans Heyer,1979-04-29,,"1979 Eifelrennen, DRM race (176.290 km/h)"
"22,835 m",7:56.21,Zakspeed Capri Turbo,Gr. 5,Harald Ertl,1980-03-30,,1980 DRM race (172.630 km/h)
"22,835 m",7:43.8,Brabham BT26A-Ford,F1,Jacky Ickx,1969-08-03,,"1969 German GP, lap record of original bumpy track with no safety features"
"24,369 m",7:59.045,BMW Z4 GT3,SP9 GT3,Jens Klingmann,2014-08-02,,VLN 37. RCM DMV Grenzlandrennen (183.049 km/h)
"20,832 m",8:02.44,Jaguar XJS,Gr. A,Tom Walkinshaw,1983-07-10,,1983 Großer Preis der Tourenwagen (155.449 km/h) (did not finish (gearbox))
"24,433 m",8:09.949,Porsche 996 Turbo,Gr. A/GT,Uwe Alzen/Jürgen Alzen,2005-09-24,,VLN 2005
"25,378 m",8:17.340,Porsche 911 GT3 R (991),SP9 GT3,Nick Tandy,2018-05-13,,"24 Hours Nürburgring 2018, Lap 30 (183.699 km/h)."
"25,378 m",8:19.607,McLaren MP4-12C GT3,SP9 GT3,Kévin Estre/Peter Kox/Tim Mullen/Sascha Bert,2014-06-21,,"24 Hours Nürburgring 2014, Lap 38 (182.865 km/h)"
"25,359 m",8:22.088,BMW Z4 GT3,SP9 GT3,Maxime Martin/Andrea Piccini/Yelmer Buurman/Richard Göransson,2013-05-20,,"24 Hours Nürburgring 2013, Lap 84 driven by Maxime Martin, video confirmed"
"25,359 m",8:36.768,Porsche 997 GT3-RSR,SP7,Timo Bernhard/Marc Lieb/Romain Dumas/Marcel Tiemann,2009-05-25,,"24 Hours Nürburgring 2009, Lap 99, new distance record with 155 laps"
"25,378 m",8:43.367,Porsche 996 GT3-MR,Gr. A/GT,Lucas Luhr/Timo Bernhard/Mike Rockenfeller/ Marcel Tiemann,2006-06-18,,24 Hours Nürburgring 2006
"25,947 m",9:02.206,Dodge Viper GTS-R,GT2/24h,Peter Zakowski/Pedro Lamy/Robert Lechner,2003-06-01,,24 Hours Nürburgring 2003. Team DQ'd for fuel tank size
"22,810 m",10:09.1,Mercedes-Benz W154,GP,Richard Seaman,1938-07-24,n/a,1938 German Grand Prix
"22,810 m",10:24.2,Mercedes-Benz W154,GP,Rudolf Caracciola,1939-07-23,n/a,1939 German Grand Prix
