Length,Time,Make Model,Rider,Date,Source,Notes
"20,832 m",7:49.71,Honda RC30,Helmut Dähne,1993-05-23,,"As motorcycle contests were discontinued after 1994, this remains the fastest officially timed motorcycle lap ever on the 20,832 m variant (159.7 km/h). Done in a single lap time trial run during Zuverlässigkeitsfahrt series on road legal VFR750R RC30 and Metzeler ME Z1 tyres."
"22,835 m",8:22.2,Suzuki 500,Marco Lucchinelli,1980-08-24,,"1980 German motorcycle Grand Prix (163.6 km/h), fastest motorcycle lap ever on 22,835 m variant, last Grand Prix motorcycle racing event held there"
